shape_source,tier,tier_lo,tier_hi,source_rate,source_unit,relative_loss,flag,note,citation
fico_odds,deep_subprime,300,579,62.0,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),5.09589,,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_odds,subprime,580,619,28.0,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),2.30137,band_580-669_also_covers:near_prime,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_odds,near_prime,620,659,28.0,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),2.30137,band_580-669_also_covers:subprime,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_odds,prime,660,719,12.166667,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),1.0,straddle_split:580-669|670-739,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_odds,prime_plus,720,799,3.0,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),0.246575,straddle_split:670-739|740-799,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_odds,superprime,800,850,1.0,percent of consumers in the band likely to become 90+ days past due on any debt (Experian),0.082192,upper_bound:800-850,"Consumer-level, any-account, 90+ DPD incidence; not a card charge-off rate and not balance-weighted. Band 580-669 spans subprime and near-prime, so those two tiers carry the same value. Undated by the source.","Experian, 'NNN Credit Score: Is it Good or Bad?' series, one page per FICO Score range, fetched 2026-09-08: https://www.experian.com/blogs/ask-experian/credit-education/score-basics/550-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/620-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/700-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/760-credit-score/, https://www.experian.com/blogs/ask-experian/credit-education/score-basics/810-credit-score/ (visible text saved as tests/fixtures/shape/experian_<score>_credit_score.txt). Band edges are Experian's stated ranges; the Exceptional band says 'less than 1%' and is carried at the bound 1.0."
fico_fed2007,deep_subprime,300,579,37.878571,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),6.420097,straddle_split:300-519|520-559|560-599,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
fico_fed2007,subprime,580,619,19.15,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),3.245763,straddle_split:560-599|600-639,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
fico_fed2007,near_prime,620,659,12.35,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),2.09322,straddle_split:600-639|640-679,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
fico_fed2007,prime,660,719,5.9,percent of new accounts (opened Oct 2000-Apr 2001) 90+ days delinquent or with other derogatory information within the two years from Oct 2000 (Fair Isaac Corp.),1.0,straddle_split:640-679|680-719,"Account-level two-year default (90+ DPD or other derogatory) on new accounts of all types opened Oct 2000-Apr 2001; not card-specific, not balance-weighted, 2000-2002 vintage. The top band '720 or more' spans prime plus and superprime, so those two tiers carry the same value.","Board of Governors of the Federal Reserve System, 'Report to the Congress on Credit Scoring and Its Effects on the Availability and Affordability of Credit' (August 2007), Tables for General Background, Table 2 'Default Rate on New Loans for the Two Years after Origination, by FICO Credit Score, October 2000 to October 2002', Source: Fair Isaac Corp.; https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/general_tables.htm (fetched 2026-09-08, copy at tests/fixtures/shape/fed2007_creditscore_general_tables.htm)"
