scenario,free_riding,brand,selection,gamma,cutoff,estimator,true_brand_effect_pp,estimated_pp,bias_pp,channel_bias_vs_clean_pp,mc_se_pp,est_clean,note
"free-riding off, brand zero, selection off",0,0,0,0.0,680,"(a) pool-level, constant FICO mix",0.0,0.021,0.021,0.0,0.002,0.021,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding off, brand zero, selection off",0,0,0,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.068,-0.068,0.0,0.006,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.000 pp (not brand)"
"free-riding off, brand zero, selection off",0,0,0,0.0,680,"(c) within-person, no time effects",0.0,0.049,0.049,0.0,0.003,0.049,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding off, brand zero, selection off",0,0,0,0.0,680,"(d) person x month FE, issuer dummy",3.282,3.282,0.0,0.0,0.194,3.282,"holders; person-month FE on months with >=1 late and >=1 current card (24,855 card-months); true = brand effect on premium cards inside that sample"
"free-riding off, brand zero, selection off",0,0,0,0.0,680,(e) person x month FE + line/balance controls,0.052,0.052,0.0,0.0,0.648,0.052,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding off, brand zero, selection off",0,0,0,0.0,680,"(f) RD at approval cutoff, other cards",0.0,0.005,0.005,0.0,0.058,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.63; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.000 pp, not brand"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,"(a) pool-level, constant FICO mix",0.0,-0.31,-0.31,-0.33,0.003,0.021,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.488,-0.488,-0.42,0.001,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.000 pp (not brand)"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,"(c) within-person, no time effects",0.0,0.016,0.016,-0.033,0.003,0.049,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,"(d) person x month FE, issuer dummy",3.282,2.367,-0.915,-0.915,0.365,3.282,"holders; person-month FE on months with >=1 late and >=1 current card (11,544 card-months); true = brand effect on premium cards inside that sample"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,(e) person x month FE + line/balance controls,0.052,-0.952,-1.004,-1.004,0.415,0.052,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding off, brand zero, selection ON",0,0,1,0.0,680,"(f) RD at approval cutoff, other cards",0.0,0.063,0.063,0.057,0.078,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.40; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.000 pp, not brand"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,"(a) pool-level, constant FICO mix",-0.343,-0.323,0.021,0.0,0.003,-0.323,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.068,-0.068,0.0,0.006,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.000 pp (not brand)"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,"(c) within-person, no time effects",-0.343,-0.289,0.055,0.0,0.002,-0.289,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,"(d) person x month FE, issuer dummy",-23.217,-23.217,0.0,0.0,0.17,-23.217,"holders; person-month FE on months with >=1 late and >=1 current card (20,601 card-months); true = brand effect on premium cards inside that sample"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,(e) person x month FE + line/balance controls,-24.564,-24.564,0.0,0.0,0.838,-24.564,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding off, brand POSITIVE, selection off",0,1,0,0.0,680,"(f) RD at approval cutoff, other cards",0.0,0.005,0.005,0.0,0.058,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.63; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.000 pp, not brand"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,"(a) pool-level, constant FICO mix",-0.157,-0.467,-0.31,-0.144,0.003,-0.323,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.488,-0.488,-0.42,0.001,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = +0.000 pp (not brand)"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,"(c) within-person, no time effects",-0.157,-0.137,0.02,0.151,0.003,-0.289,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,"(d) person x month FE, issuer dummy",-23.217,-24.299,-1.082,-1.082,0.594,-23.217,"holders; person-month FE on months with >=1 late and >=1 current card (9,448 card-months); true = brand effect on premium cards inside that sample"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,(e) person x month FE + line/balance controls,-24.564,-25.625,-1.061,-1.061,0.969,-24.564,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding off, brand POSITIVE, selection ON",0,1,1,0.0,680,"(f) RD at approval cutoff, other cards",0.0,0.063,0.063,0.057,0.078,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.40; estimand = badge's causal effect on other cards = free-riding liquidity effect +0.000 pp, not brand"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,"(a) pool-level, constant FICO mix",0.0,0.012,0.012,-0.009,0.003,0.021,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.07,-0.07,-0.001,0.006,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = -0.002 pp (not brand)"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,"(c) within-person, no time effects",0.0,0.041,0.041,-0.008,0.003,0.049,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,"(d) person x month FE, issuer dummy",3.282,2.784,-0.498,-0.498,0.226,3.282,"holders; person-month FE on months with >=1 late and >=1 current card (24,654 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,(e) person x month FE + line/balance controls,0.052,0.025,-0.027,-0.027,0.572,0.052,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
"free-riding ON, brand zero, selection off",1,0,0,0.1,680,"(f) RD at approval cutoff, other cards",0.0,0.022,0.022,0.017,0.057,0.005,"fuzzy RD, applicants within 15 FICO pts of 680 (n=22,467), first stage 0.63; estimand = badge's causal effect on other cards = free-riding liquidity effect -0.002 pp, not brand"
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,"(a) pool-level, constant FICO mix",0.0,-0.314,-0.314,-0.335,0.003,0.021,"premium cards minus non-premium cards, monthly 30+ entry, reweighted to premium cards' 10-pt FICO mix"
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.49,-0.49,-0.422,0.001,-0.068,"coef on holds-premium in other-card monthly 30+, FICO-bin FE; true causal free-riding effect on holders' other cards = -0.003 pp (not brand)"
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,"(c) within-person, no time effects",0.0,0.013,0.013,-0.036,0.003,0.049,"holders only; premium card vs the same person's other cards, 12-month means, person FE"
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,"(d) person x month FE, issuer dummy",3.282,1.915,-1.367,-1.367,0.406,3.282,"holders; person-month FE on months with >=1 late and >=1 current card (11,373 card-months); true = brand effect on premium cards inside that sample"
"free-riding ON, brand zero, selection ON",1,0,1,0.1,680,(e) person x month FE + line/balance controls,0.052,-0.796,-0.848,-0.848,0.415,0.052,"(d) plus line, balance, room, balance share (all measured before the spell; no post-spell line cuts simulated)"
